Date,Imp Vol,1D IV Chg,IV Rank,IV Pctl,P/C Vol,Options Vol,P/C OI,Total OI,Last,Call Volume,Put Volume,Call OI,Put OI,WBD,PSKY,NFLX,VIX,WBD_Log_Ret,Realized_Vol,VRP,Arb_Spread,Implied_Deal_Prob,NFLX_Ret,PSKY_Ret,PSKY_NFLX_Beta,NFLX_Log_Ret,PSKY_Log_Ret,Pair_Spread,Spread_ZScore
2025-11-13,49.1,-61.32%,19.29%,56%,1.0100682379537,96029,0.6526693808202,1883149,22.14,47774,48255,1139459,743690,22.13999938964844,15.369999885559082,115.4229965209961,20.0,-0.0022558612993235864,43.976606238830904,5.123393761169098,8.860000610351559,53.902182688568644,-0.002825084051869653,-0.012845203158971308,0.036614052834532534,-0.0028290821335396296,-0.01292841614089267,-0.002355720421890162,-0.017061930882661554
2025-11-14,52.92,+3.83%,24.32%,67%,0.33513040193671,155524,0.6690139253097,1919593,23.03,116486,39038,1150136,769457,23.030000686645508,15.68000030517578,111.21700286865234,19.82999992370605,0.03941184393518718,44.82027720675058,8.09972279324942,7.969999313354492,58.53278250455216,-0.03643982377098187,0.02016918815386326,0.018716164939762955,-0.037120337209794796,0.019968484280231315,-0.03749407065518067,-1.1303604563820528
2025-11-17,53.89,+0.97%,25.60%,69%,0.42828158832455,83773,0.65225113709812,1927460,22.74,58653,25120,1166566,760894,22.739999771118164,15.729999542236328,110.29000091552734,22.3799991607666,-0.012672265390630839,45.63735574927353,8.252644250726469,8.260000228881836,57.023932808931555,-0.008335074037373547,0.0031887267912900086,-0.01860439798802161,-0.008370005003862462,0.0031836535838692813,-0.008310775045532166,-0.06581924284061076
2025-11-18,54.77,+0.88%,26.76%,70%,0.39418668213612,249947,0.65395115311197,1965974,23.69,179278,70669,1188653,777321,23.690000534057617,16.09000015258789,114.08999633789062,24.690000534057617,0.040927562457056865,31.971030556560375,22.798969443439628,7.309999465942383,61.96670465982036,0.03445457784766681,0.022886244172158454,-0.049919576280763836,0.03387430989070521,0.022628282518818904,0.035003904166006065,1.3556971237888225
2025-11-19,56.51,+1.74%,29.05%,73%,0.25737537555056,215533,0.64023537860049,2055707,23.09,171415,44118,1253300,802407,23.09000015258789,15.470000267028809,110.0,23.65999984741211,-0.025653410739481464,34.063058396948385,22.446941603051613,7.909999847412109,58.844954539457426,-0.035848860278491324,-0.03853324298815264,0.00749545386984507,-0.03650721271743568,-0.039295288641642646,-0.03621267669412,-1.8375015526133909
2025-11-20,53.41,-3.10%,24.97%,67%,0.31974073062309,159426,0.62484754129485,2139518,22.88,120801,38625,1316750,822768,22.8799991607666,15.68000030517578,105.66999816894533,26.420000076293945,-0.009136500142986087,32.69756062789262,20.712439372107376,8.120000839233398,57.75233753163388,-0.039363653009587884,0.01357466286503839,0.08998527092891234,-0.04015935266752341,0.013483352538954373,-0.04137265579877125,-1.8161937621882238
2025-11-21,57.15,+3.74%,29.89%,74%,0.34035335240918,169103,0.62571804139195,2202687,23.17,126163,42940,1354901,847786,23.170000076293945,15.890000343322754,104.30999755859376,23.43000030517578,0.012595211905259751,32.68428456491714,24.465715435082856,7.829999923706055,59.26118722725449,-0.01287026245781886,0.013392859315038086,0.0608305674718345,-0.012953801842307513,0.013303967769836526,-0.013763089751373666,-0.5068583822490544
2025-11-24,53.94,-3.21%,25.67%,68%,0.30611292021837,109097,0.60654973290758,1722684,22.86,83528,25569,1072288,650396,22.86000061035156,15.0600004196167,106.97000122070312,20.520000457763672,-0.013469656670867386,33.13993479332896,20.800065206671036,8.139999389648441,57.648286802512146,0.02550094645161094,-0.05223410357286962,0.06512766033615512,0.025181221447094147,-0.05364775192009744,0.028675174011944568,1.3709919595095774
2025-11-25,52.0,-1.95%,23.10%,62%,0.42959257945914,76599,0.61021079532848,1763556,22.96,53581,23018,1095233,668323,22.959999084472656,15.640000343322754,104.4000015258789,18.559999465942383,0.004364846510273111,33.05009420289553,18.94990579710447,8.040000915527344,58.168570219430926,-0.02402542456292711,0.0385126100627835,0.0034559224673279326,-0.02431874266544283,0.03778950683400569,-0.02444934027113971,-0.9442764892934118
2025-11-26,61.71,+9.72%,35.90%,79%,0.75877548016778,119500,0.61396204134798,1790473,23.88,67945,51555,1109365,681108,23.8799991607666,15.789999961853027,106.13999938964844,17.190000534057617,0.03928772180414309,35.07500654036424,26.63499345963576,7.120000839233398,62.95525109098207,0.01666664596109424,0.009590768237694558,-0.026286249034521432,0.01652928158507354,0.009545068782908702,0.016780185640152715,0.8112305094954194
